SMILES,pACT_Value,Molecule_ChEMBL_ID,Molecule_Name,split
CO[C@H]1C[C@H](C(F)F)N(c2nc3cc(-c4nc(=O)o[nH]4)nc(-c4cncc(Cl)c4)c3n2C[C@H]2CC[C@H](C)CC2)C1,9.0,CHEMBL3944443,,train
COc1ncc(Cl)cc1-c1nc(-c2noc(=O)[nH]2)cc2nc(N3CCO[C@@H]4CCC[C@H]43)n(C[C@H]3CC[C@H](C)CC3)c12,9.0,CHEMBL3653319,,train
CC[C@@H](CNS(C)(=O)=O)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)C1c1ccc(Cl)cc1,9.0,CHEMBL5952523,,train
CCC(C(=O)OC(C)(C)C)N1C(=O)[C@@](C)(Cc2nnn[nH]2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,9.0,CHEMBL5790202,,val
C[C@H]1CC[C@H](Cn2c(N3CCOC[C@H]3c3ccccc3)nc3nc(-c4noc(=O)[nH]4)nc(-n4cc(Cl)ccc4=O)c32)CC1,8.99,CHEMBL5893736,,train
[C-]#[N+]c1ccc(C2c3c(nc(-c4cnc(N)nc4OC)n3C(C)C)C(=O)N2c2cccc(Cl)c2F)cc1,8.99,CHEMBL3653209,,train
COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2cncc(Cl)c2)C3=O)c(OC)n1,8.99,CHEMBL3653228,,train
[C-]#[N+]c1ccc(C2c3c(nn(-c4cc(C#N)ccc4OC)c3C(C)C)C(=O)N2c2cc(Cl)c(=O)n(C)c2)c(C)c1,8.99,CHEMBL3691733,,val
C[C@H]1CC[C@H](Cn2c(C3OCCc4ccccc43)nc3nc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,8.99,CHEMBL6014836,,train
COc1ccc(C(=O)N(C)C)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cncc(Cl)c1)C2=O,8.98,CHEMBL3657022,,test
C[C@@H](Nc1nc(C(=O)O)nc2nc(-c3cc(C(C)(C)C)ccn3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,8.98,CHEMBL5838038,,val
C[C@H]1OCCN(c2nc3nc(-c4noc(=O)[nH]4)nc(-c4cccc(Cl)c4)c3n2C[C@H]2CC[C@H](C)CC2)[C@@H]1c1ccccc1,8.98,CHEMBL5794955,,train
COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2F)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1,8.97,CHEMBL3657104,,train
COc1ccc(CO)cc1-c1nc2c(n1C(C)C)[C@@H](c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,8.96,CHEMBL3653246,,train
C[C@H]1CCCN1S(=O)(=O)C[C@@H](N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1)C(C)(C)C,8.96,CHEMBL3318780,,val
CC[C@](O)(c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cc1)[C@@]2(OC)c1ccc(Cl)cc1)C1CCN(CC(=O)O)CC1,8.96,CHEMBL5976980,,train
CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(CS(N)(=O)=O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,8.96,CHEMBL3236365,,train
CO[C@]1(c2ccc(Cl)cc2)c2c(F)cc(C(C)(O)C3CCN(C(C)=N)CC3)cc2C(=O)N1Cc1ccc(Cl)cn1,8.96,CHEMBL5938450,,train
CCC(O)(c1cc(F)c2c(c1)C(=O)N(Cc1ccc(C#N)cn1)[C@@]2(O[C@H]1CCOC1)c1ccc(Cl)cc1)c1cn(C)cn1,8.96,CHEMBL5968630,,val
Cn1cc(C(C)(O)c2cc(F)c3c(c2)C(=O)N(Cc2ccc(Cl)c[n+]2[O-])[C@@]3(OCC2(C#N)CC2)c2ccc(Cl)cc2)cn1,8.96,CHEMBL5744828,,train
C[C@@H](CS(=O)(=O)C(C)(C)C)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,8.96,CHEMBL3233136,,test
CC[C@@](O)(c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cc1)[C@@]2(OC)c1ccc(Cl)cc1)C1CCN(CC(=O)O)CC1,8.96,CHEMBL6065049,,train
CC(O)(c1cc(F)c2c(c1)C(=O)N(Cc1ccc(C#N)cn1)[C@@]2(OCC1(CO)CC1)c1ccc(Cl)cc1)C(F)(F)F,8.96,CHEMBL5816071,,test
CC(=O)NCC1(CO[C@]2(c3ccc(Cl)cc3)c3c(F)cc(C(C)(C)O)cc3C(=O)N2Cc2ccc(Cl)cn2)CC1,8.96,CHEMBL5756513,,val
CC[C@@H](CN(C)S(=O)(=O)C1CC1)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,8.96,CHEMBL3233121,,train
C[C@H]1CC[C@H](Cn2c(N3CCO[C@@H]4CCC[C@H]43)nc3nc(-c4noc(=O)[nH]4)nc(-c4cccc(Cl)c4)c32)CC1,8.96,CHEMBL6039169,,val
COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2cc(Cl)cc4[nH]ncc24)C3=O)c(OC)n1,8.96,CHEMBL5784605,,train
COc1ccccc1-n1nc2c(c1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,8.96,CHEMBL3687307,,test
COc1ncc(-n2nc3c(c2C(C)C)C(c2ccc(Cl)cc2F)N(c2cc(Cl)c(=O)n(C)c2)C3=O)c(OC)n1,8.96,CHEMBL3691780,,train
COc1cnc(CC#N)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)cn(C)c1=O)C2=O,8.96,CHEMBL3657049,,train
COc1cnc(CC#N)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)cn(C)c1=O)C2=O,8.96,CHEMBL3653262,,test
CC[C@H]([C@@H](C)O)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,8.96,CHEMBL4539285,,test
COC(=O)N1CCCC1Cn1nc2c(c1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,8.96,CHEMBL3687275,,test
CC(O)(c1cc(F)c2c(c1)C(=O)N(Cc1ncc(Cl)cn1)[C@@]2(O[C@H]1C[C@@H](O)C1)c1ccc(Cl)cc1)[C@H]1CC[C@H](O)CC1,8.96,CHEMBL5986938,,train
COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](CNCc2ccncc2)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F,8.96,CHEMBL5181559,,train
CC(C)(C)C[C@@H]1N[C@@H](C(=O)N[C@H]2C[C@@H](O)C2)[C@H](c2cccc(Cl)c2F)[C@]12C(=O)Nc1cc(Cl)ccc12,8.96,CHEMBL2398474,,train
C=CCn1nc2c(c1C(C)C)C(c1ccc(Cl)cc1C)N(c1cc(Cl)ccc1C)C2=O,8.96,CHEMBL3687250,,train
COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2cc(F)c4c(c2)OCO4)C3=O)c(OC)n1,8.95,CHEMBL5957735,,train
C[C@H]1CC[C@H](Cn2c(N3CCOC[C@H]3c3ccccc3)nc3nc(-c4noc(=O)[nH]4)nc(-c4ccnc(Cl)c4)c32)CC1,8.94,CHEMBL5823259,,train
COc1cn(C)c(=O)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(C)ccc1OC)C2=O,8.94,CHEMBL3657077,,train
CC(C)c1cc(-c2nc3nc(C(=O)O)nc(N[C@H](C)C4CCC4)c3n2C[C@H]2CC[C@H](C)CC2)ncc1F,8.94,CHEMBL5829599,,train
C[C@H]1CC[C@H](Cn2c(N3CCOC[C@H]3c3ccccc3)nc3nc(-c4noc(=O)[nH]4)nc(-c4cc(Cl)cnc4F)c32)CC1,8.94,CHEMBL5746954,,train
COc1nc(N)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)c(=O)n(C)c1)C2=O,8.94,CHEMBL3653223,,train
COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2cc(C)cn(C)c2=O)C3=O)c(OC)n1,8.94,CHEMBL3657094,,train
COc1cn(C)c(=O)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1ccc(F)c(C)c1)C2=O,8.93,CHEMBL3657076,,train
C[C@H]1CC[C@H](Cn2c(N3CCOC[C@H]3c3ccccc3)nc3nc(-c4noc(=O)[nH]4)nc(-c4cc(F)cc(Cl)c4)c32)CC1,8.92,CHEMBL5967322,,train
Cn1cc(C(C)(O)c2cc(F)c3c(c2)C(=O)N(Cc2ncc(Cl)cn2)[C@@]3(OCC2(O)CC2)c2ccc(Cl)cc2)cn1,8.92,CHEMBL5965970,,train
[C-]#[N+]c1ccc(C2c3c(nc(-c4cnc(N)nc4OC)n3C(C)C)C(=O)N2c2ccc(F)c(Cl)c2)cc1,8.92,CHEMBL3653212,,train
O=C1Nc2cc(Cl)ccc2[C@@]1(Cc1cccc(Cl)c1)Nc1c(F)cccc1F,8.92,CHEMBL4437666,,test
C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(C(O)C3CCCC3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,8.92,CHEMBL6010365,,val
CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(Cc2cccc(C(=O)O)n2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,8.92,CHEMBL3236641,,train
COc1cnc(CC#N)cc1-c1nc2c(n1C(C)C)C(c1ccc(C#N)cc1)N(c1ccc(F)c(Cl)c1)C2=O,8.92,CHEMBL3657051,,val
CC(C)C1=C(C(=O)N2C[C@H](F)C[C@H]2C(=O)N2CC3(CC3)NC[C@@H]2C)SC2=N[C@@](C)(c3ccc(Cl)cc3)[C@@H](c3ccc(Cl)c(F)c3)N21,8.92,CHEMBL4548050,,train
CC(C)C[C@H](N[C@H](C(=O)NCc1ccccc1)c1c(C(=O)NO)[nH]c2cc(Cl)ccc12)C(=O)NO,8.92,CHEMBL4546186,,val
CC[C@@H](CC(C)(C)C#N)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,8.92,CHEMBL3125709,,train
COc1cc(-c2nc(-c3noc(=O)[nH]3)nc3nc(N4CCOC[C@H]4c4ccccc4)n(C[C@H]4CC[C@H](C)CC4)c23)cc(Cl)n1,8.92,CHEMBL6005029,,train
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)c2ccccc2Cl)C2CC2)C1=O,8.92,CHEMBL3968189,,train
CCN1[C@@H](CC(C)(C)C)[C@@]2(CNc3cc(Cl)ccc32)[C@@H](c2cccc(Cl)c2F)[C@@H]1C(=O)Nc1ccc(C(=O)O)cc1OC,8.92,CHEMBL5438520,,train
Cn1cc(C(C)(O)c2cc(F)c3c(c2)C(=O)N(Cc2ccc(Cl)cn2)[C@@]3(O[C@H]2C[C@@H](O)C2)c2ccc(Cl)cc2)cn1,8.92,CHEMBL5863017,,test
CC(O)(CN1CCCC1)c1cc(F)c2c(c1)C(=O)N(Cc1ccc(C#N)cn1)[C@@]2(OCC1(C#N)CC1)c1ccc(Cl)cc1,8.92,CHEMBL5746035,,train
CC(C)(O)c1ccc2c(c1)C(=O)N(Cc1ccc(Cl)cc1)[C@@]2(OCC1(CO)CCC1)c1ccc(Cl)cc1,8.92,CHEMBL5912559,,train
COc1cc2c(cc1OC(C)C)[C@H](c1ccc(Cl)cc1)N(c1ccc(N(C)C[C@H]3CC[C@H](N4CC(=O)N(C(C)C)C4)CC3)cn1)C(=O)C2,8.92,CHEMBL3683178,,val
O=C(O)c1ccc(NC(=O)[C@@H]2NC3(CCCCC3)[C@@]3(C(=O)Nc4cc(Cl)ccc43)[C@H]2c2cccc(Cl)c2F)c(F)c1,8.92,CHEMBL4095706,,val
CC[C@@H](CC#N)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,8.92,CHEMBL3125708,,test
C[C@@H]1CN(C(=O)C2CC2)CCN1c1nc2nc(-c3noc(=O)[nH]3)nc(N[C@H](C)C3CCC3)c2n1C[C@H]1CC[C@H](C)CC1,8.91,CHEMBL6038837,,train
C[C@H]1CC[C@H](Cn2c(N3CCOC[C@H]3c3ccccc3)nc3nc(-c4n[nH]c(=O)o4)nc(-c4cc(Cl)cnc4O)c32)CC1,8.91,CHEMBL5881704,,train
COc1ncc(-n2nc3c(c2C(C)C)C(c2ccc(C#N)cc2)N(c2cc(Cl)c[nH]c2=O)C3=O)c(OC)n1,8.91,CHEMBL3691756,,train
C[C@H]1CC[C@H](Cn2c(N3CCOC[C@H]3c3ccccc3)nc3nc(-c4noc(=O)[nH]4)nc(-c4cccc(Cl)c4)c32)CC1,8.9,CHEMBL5079727,,train
COc1nc(N(C)C)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(C)nnc1OC)C2=O,8.9,CHEMBL3657102,,train
COC[C@H](C)n1c(-c2cnc(OC)nc2OC)nc2c1C(c1ccc(Cl)cc1)N(c1cc(Cl)ccc1C)C2=O,8.9,CHEMBL3653308,,train
CNc1ncc(-n2nc3c(c2C(C)C)C(c2ccc(C#N)cc2)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1,8.9,CHEMBL3691765,,train
COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](CNCc2ccccc2)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F,8.89,CHEMBL5173513,,train
COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(CNc3cc(Cl)ccc32)[C@H]1c1cccc(F)c1F,8.89,CHEMBL5424005,,train
CC[C@@H](CS(=O)(=O)C(C)C)N1C(=O)[C@@H](CC(=O)O)O[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,8.89,CHEMBL3233129,,train
[C-]#[N+]c1ccc(C2c3c(nn(-c4cnc(OC)nc4OC)c3C(C)C)C(=O)N2c2cc(Cl)cn(C)c2=O)cc1F,8.89,CHEMBL3691784,,train
COc1ccccc1-n1nc2c(c1C(C)C)C(CCO)(c1ccc(Cl)cc1)N(c1ccc(F)c(Cl)c1)C2=O,8.89,CHEMBL3691696,,train
CC[C@@](O)(c1cc(F)c2c(c1)C(=O)N(Cc1ncc(Cl)cn1)[C@@]2(OC[C@@H](C)O)c1ccc(Cl)cc1)C1CCN(C)CC1,8.89,CHEMBL5771151,,test
Cn1cnc(C(C)(O)c2cc(F)c3c(c2)C(=O)N(Cc2ccc(Cl)cn2)[C@@]3(OCC2(O)CC2)c2ccc(Cl)cc2)c1,8.89,CHEMBL5811278,,test
CCC(O)(CN1CC[C@@H](O)C1)c1cc(F)c2c(c1)C(=O)N(Cc1ncc(Cl)cn1)[C@@]2(O[C@H]1CCOC1)c1ccc(Cl)cc1,8.89,CHEMBL6037408,,train
CCOC(=O)c1[nH]c2cc(Cl)ccc2c1C(C(=O)NC(C)(C)C)N(C=O)Cc1cccc(F)c1,8.89,CHEMBL3898026,,val
Cc1nc(C(C)(O)c2cc(F)c3c(c2)C(=O)N(Cc2ccc(Cl)cn2)[C@@]3(OCC2(O)CC2)c2ccc(Cl)cc2)cn1C,8.89,CHEMBL5969662,,train
O=C(NC12CCC(C(=O)O)(CC1)CC2)[C@@H]1NC2(CCC(F)(F)CC2)[C@@]2(C(=O)Nc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1F,8.89,CHEMBL4071840,,train
COC(C)(c1nc2nc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1)C1CCCC1,8.89,CHEMBL6052299,,test
CCN1[C@@H](CC(C)(C)C)[C@@]2(CNc3cc(Cl)ccc32)[C@@H](c2cccc(F)c2F)[C@@H]1C(=O)Nc1ccc(C(=O)O)cc1OC,8.89,CHEMBL5395046,,train
CC[C@@H]([C@H](O)C1CC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,8.89,CHEMBL4110335,,train
CC(C)c1ccnc(-c2nc3nc(C(=O)O)nc(N[C@H](C)C4CCC4)c3n2C[C@H]2CC[C@H](C)CC2)c1,8.89,CHEMBL5080429,,train
CCCN1[C@@H](CC(C)(C)C)[C@@]2(CNc3cc(Cl)ccc32)[C@@H](c2cccc(Cl)c2F)[C@@H]1C(=O)Nc1ccc(C(=O)O)cc1OC,8.89,CHEMBL5413376,,train
CO[C@]1(c2ccc(Cl)cc2)c2c(F)cc(C(C)(O)c3cnn(C4CN(C(C)=O)C4)c3)cc2C(=O)N1Cc1ccc(Cl)cn1,8.89,CHEMBL5784816,,train
CC[C@@H](CNS(=O)(=O)C1CCC1)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,8.89,CHEMBL3961423,,train
CC[C@@H](CCS(C)(=O)=O)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,8.89,CHEMBL3125523,,test
CC[C@@](O)(c1cc(F)c2c(c1)C(=O)N(Cc1ccc(Cl)cc1)[C@@]2(OC)c1ccc(Cl)cc1)C1CCN(CCC(=O)OC)CC1,8.89,CHEMBL6029382,,train
C[C@@H](O)CO[C@]1(c2ccc(Cl)cc2)c2c(F)cc(C(C)(O)c3cnn(C)c3)cc2C(=O)N1Cc1ccc(Cl)cn1,8.89,CHEMBL6023965,,test
CCCN1[C@@H](CC(C)(C)C)[C@@]2(CNc3cc(Cl)ccc32)[C@@H](c2cccc(F)c2F)[C@@H]1C(=O)Nc1ccc(C(=O)O)cc1OC,8.89,CHEMBL5405110,,train
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)c2ccc(F)cc2Cl)C2CC2)C1=O,8.89,CHEMBL3897481,,train
Cn1cnc(C(O)(c2cc(F)c3c(c2)C(=O)N(Cc2ccc(C#N)cn2)[C@@]3(O[C@H]2CCOC2)c2ccc(Cl)cc2)C2CC2)c1,8.89,CHEMBL5929380,,train
CC[C@@H](CNS(=O)(=O)C(C)(C)C)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,8.89,CHEMBL3125513,,train
COc1ncc(-c2nc3c(n2C(C)C)C(c2ccc(Cl)cc2)N(c2ccc(C(N)=O)cc2C)C3=O)c(OC)n1,8.88,CHEMBL3653251,,train
COc1ncc(-c2nc3c(n2C2CC2)C(c2ccc(Cl)cc2)N(c2cc(Cl)ccc2C)C3=O)c(OC)n1,8.88,CHEMBL3656996,,val
COc1ncc(-n2nc3c(c2C(C)C)C(c2ccc(C#N)cc2)N(c2cc(Cl)c(=O)n(C)c2)C3=O)c(OC)n1,8.88,CHEMBL3691757,,train
C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(N3CCOC[C@H]3c3ccncc3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,8.88,CHEMBL5890258,,val
COc1ncc(CC(=O)O)cc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cccc(Cl)c1F)C2=O,8.88,CHEMBL3653292,,train
C[C@@H](Nc1nc(-c2noc(=O)[nH]2)nc2nc(C(C)(F)c3ccccn3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,8.88,CHEMBL5984242,,test
C[C@@H](Nc1nc(C(=O)O)nc2nc(C3CCCC3c3ccccc3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,8.87,CHEMBL5862389,,train
COc1nc(N)ncc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(c1cc(Cl)cn(C)c1=O)C2=O,8.87,CHEMBL3656977,,train
C[C@@H](Nc1nc(C(=O)O)nc2nc(N3CCCC4CCCCC43)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,8.87,CHEMBL5974685,,train
C[C@H]1CC[C@H](Cn2c(N3CCOC4CCCCC43)nc3nc(-c4noc(=O)[nH]4)nc(-c4cccc(Cl)c4)c32)CC1,8.86,CHEMBL5880986,,train
CC(c1ccccc1F)c1nc2nc(-c3noc(=O)[nH]3)nc(-c3cncc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1,8.86,CHEMBL5935674,,train
C[C@H]1CC[C@H](Cn2c(N3CCOC[C@H]3c3ccc(F)cc3)nc3nc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c32)CC1,8.86,CHEMBL5832638,,train
CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@]1(C)CCCCCC/C=C/CCC[C@@](C)(C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(=O)O)NC1=O)[C@@H](C)O,8.85,CHEMBL5394570,,train
COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(CNc3cc(Cl)ccc32)[C@H]1c1cccc(F)c1,8.85,CHEMBL5404903,,test
COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(CNc3cc(Cl)ccc32)[C@H]1c1cccc(Cl)c1,8.85,CHEMBL5407963,,train
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](Cn2c(=O)[nH]c3ccccc32)C2CC2)C1=O,8.85,CHEMBL3962217,,train
CC(c1cscn1)c1nc2nc(-c3noc(=O)[nH]3)nc(N[C@H](C)C3CCC3)c2n1C[C@H]1CC[C@H](C)CC1,8.85,CHEMBL5906349,,train
COc1cc2c(cc1OC(C)C)[C@H](c1ccc(Cl)cc1)N(c1ccc(N(C)C[C@H]3CC[C@H](N4CCCNC(=O)C4)CC3)cc1)C(=O)C2,8.85,CHEMBL3683163,,val
Cn1cc(C(C)(O)c2cc(F)c3c(c2)C(=O)N(Cc2ncc(Cl)cn2)[C@@]3(OCC2(C(N)=O)CC2)c2ccc(Cl)cc2)cn1,8.85,CHEMBL5808662,,train
C[C@@H](Nc1nc(C(=O)NS(=O)(=O)N(C)C)nc2nc(N3CCOC[C@H]3c3ccccc3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,8.85,CHEMBL5898850,,train
COc1cc(C(=O)O)ccc1NC(=O)[C@H]1[C@H](c2cccc(Cl)c2F)[C@]2(CNc3cc(Cl)ccc32)[C@H](CC(C)(C)C)N1C,8.85,CHEMBL5402394,,val
CCN1[C@@H](CC(C)(C)C)[C@@]2(CNc3cc(Cl)ccc32)[C@@H](c2cccc(F)c2)[C@@H]1C(=O)Nc1ccc(C(=O)O)cc1OC,8.85,CHEMBL5431530,,train
CC[C@H](N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1)C(C)(C)O,8.85,CHEMBL3125703,,train
CC[C@@H](CCC(C)(C)O)N1C(=O)[C@@](C)(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,8.85,CHEMBL3125705,,train
C[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)c2ccccc2)C2CC2)C1=O,8.85,CHEMBL3970501,,train
CC[C@]1(CC(=O)O)C[C@H](c2cccc(Cl)c2)[C@@H](c2ccc(Cl)cc2)N([C@H](CS(=O)(=O)c2cccc(F)c2)C2CC2)C1=O,8.85,CHEMBL3920713,,train
COc1cc2c(cc1OC(C)C)[C@H](c1ccc(Cl)cc1)N(c1ccc(N(C)C[C@H]3CC[C@H](N4CCN(C(C)=O)CC4)CC3)cc1)C(=O)C2,8.85,CHEMBL3683173,,train
CCC(O)(c1cc(F)c2c(c1)C(=O)N(Cc1ncc(C#N)cn1)[C@@]2(O[C@H]1C[C@H](CO)C1)c1ccc(Cl)cc1)c1cn(C)cn1,8.85,CHEMBL5987719,,train
CC[C@@](O)(c1cc(F)c2c(c1)C(=O)N(Cc1ccc(C)nc1C(=O)O)[C@@]2(OC)c1ccc(Cl)cc1)C1(F)CCOCC1,8.85,CHEMBL6002400,,train
COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](CNCc2ccncc2)(c2ccc(Cl)cc2)[C@H]1c1cccc(Cl)c1,8.85,CHEMBL5169689,,train
C[C@@H](Nc1nc(C(=O)O)nc2nc(C3(c4ccccc4)CCC3)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,8.84,CHEMBL6031684,,train
COc1ncc(-n2nc3c(c2C(C)C)C(c2ccc(C#N)cc2)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1,8.84,CHEMBL3691758,,test
C[C@@H]1COCCN1c1nc2nc(-c3noc(=O)[nH]3)nc(N[C@H](C)C3CCC3)c2n1C[C@H]1CC[C@H](C)CC1,8.84,CHEMBL5945959,,train
C[C@H]1CC[C@H](Cn2c(N3CCOC[C@H]3c3ccccc3)nc3nc(-c4noc(=O)[nH]4)nc(-c4cccc(Cl)c4F)c32)CC1,8.84,CHEMBL5891433,,train
COc1ncc(-n2nc3c(c2C(C)C)C(c2ccc(Cl)cc2F)N(c2cc(Cl)cn(C)c2=O)C3=O)c(OC)n1,8.84,CHEMBL3691781,,train
C[C@@H](Nc1nc(-c2n[nH]c(=O)o2)nc2nc(N3CCOC4CCCCC43)n(C[C@H]3CC[C@H](C)CC3)c12)C1CCC1,8.84,CHEMBL5763692,,val
C[C@@H](Nc1nc(C(=O)O)nc2nc(N[C@@H](CO)c3ccccc3)n(Cc3ccc(C(F)(F)F)cc3)c12)C1CCC1,8.83,CHEMBL5086781,,train
COc1ccccc1-c1nc2c(n1C(C)C)C(c1ccc(Cl)cc1)N(C1CCC(=O)N(C)C1)C2=O,8.83,CHEMBL3653239,,train
Cc1noc(C2CCCN2c2nc3nc(-c4noc(=O)[nH]4)nc(-c4cncc(Cl)c4)c3n2C[C@H]2CC[C@H](C)CC2)n1,8.83,CHEMBL6030051,,train
C[C@H](O)[C@H](Nc1nc2nc(-c3noc(=O)[nH]3)nc(-c3cccc(Cl)c3)c2n1C[C@H]1CC[C@H](C)CC1)c1ccccc1,8.83,CHEMBL5835167,,test
COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@@]2(CNc3cc(Cl)ccc32)[C@H]1c1cccc(C)c1,8.82,CHEMBL5433398,,train
